Id,Registrar Id,Name,Age,Phone Number,Email,Address,City,Zip Code
1,123512,Jon Snow,35,(665)121-5454,jonsnow@gmail.com,"0912 Won Street, Alabama, SY 10001",New York,10001
2,123512,Cersei Lannister,42,(421)314-2288,cerseilannister@gmail.com,"1234 Main Street, New York, NY 10001",New York,13151
3,4132513,Jaime Lannister,45,(422)982-6739,jaimelannister@gmail.com,"3333 Want Blvd, Estanza, NAY 42125",New York,87281
4,123512,Anya Stark,16,(921)425-6742,anyastark@gmail.com,"1514 Main Street, New York, NY 22298",New York,15551
5,123512,Daenerys Targaryen,31,(421)445-1189,daenerystargaryen@gmail.com,"11122 Welping Ave, Tenting, CD 21321",Tenting,14215
6,123512,Ever Melisandre,150,(232)545-6483,evermelisandre@gmail.com,"1234 Canvile Street, Esvazark, NY 10001",Esvazark,10001
7,123512,Ferrara Clifford,44,(543)124-0123,ferraraclifford@gmail.com,"22215 Super Street, Everting, ZO 515234",Evertin,51523
8,512315,Rossini Frances,36,(222)444-5555,rossinifrances@gmail.com,"4123 Ever Blvd, Wentington, AD 142213",Esteras,44215
9,928397,Harvey Roxie,65,(444)555-6239,harveyroxie@gmail.com,"51234 Avery Street, Cantory, ND 212412",Colunza,111234
10,533215,Enteri Redack,42,(222)444-5555,enteriredack@gmail.com,"4123 Easer Blvd, Wentington, AD 142213",Esteras,44215
11,92197,Steve Goodman,11,(444)555-6239,stevegoodmane@gmail.com,"51234 Fiveton Street, CunFory, ND 212412",Colunza,1234
